333 1660161016 0,002024 0,200000 0,002024 0,002024 0,000001
330 1660161016 0,350493 0,200000 0,350493 0,350493 0,024569
333 1660161017 0,002024 0,200000 0,002024 0,002024 0,000001
330 1660161017 0,350493 0,200000 0,350493 0,350493 0,024569
333 1660161018 0,002024 0,200000 0,002024 0,002024 0,000001
330 1660161018 0,350493 0,200000 0,350493 0,350493 0,024569
333 1660161019 0,002024 0,200000 0,002024 0,002024 0,000001
330 1660161019 0,350493 0,200000 0,350493 0,350493 0,024569
333 1660161020 0,002024 0,200000 0,002024 0,002024 0,000001
330 1660161020 0,350493 0,200000 0,350493 0,350493 0,024569
333 1660161021 0,001669 0,400000 0,001526 0,001812 0,000001
330 1660161021 0,326537 0,400000 0,302533 0,350540 0,042881
333 1660161022 0,001669 0,400000 0,001526 0,001812 0,000001
330 1660161022 0,326537 0,400000 0,302533 0,350540 0,042881
333 1660161023 0,001669 0,400000 0,001526 0,001812 0,000001
330 1660161023 0,326537 0,400000 0,302533 0,350540 0,042881
333 1660161024 0,001669 0,400000 0,001526 0,001812 0,000001
330 1660161024 0,326537 0,400000 0,302533 0,350540 0,042881
333 1660161025 0,001669 0,400000 0,001526 0,001812 0,000001
330 1660161025 0,326537 0,400000 0,302533 0,350540 0,042881
348 1660161026 0,285763 0,200000 0,285763 0,285763 0,016332
348 1660161027 0,285763 0,200000 0,285763 0,285763 0,016332
348 1660161028 0,285763 0,200000 0,285763 0,285763 0,016332
348 1660161029 0,285763 0,200000 0,285763 0,285763 0,016332
348 1660161030 0,285763 0,200000 0,285763 0,285763 0,016332
348 1660161031 0,279060 0,400000 0,271698 0,286422 0,031172
333 1660161031 0,000739 0,200000 0,000739 0,000739 0,000000
330 1660161031 0,269624 0,200000 0,269624 0,269624 0,014539
348 1660161032 0,279060 0,400000 0,271698 0,286422 0,031172
333 1660161032 0,000739 0,200000 0,000739 0,000739 0,000000
330 1660161032 0,269624 0,200000 0,269624 0,269624 0,014539
348 1660161033 0,279060 0,400000 0,271698 0,286422 0,031172
333 1660161033 0,000739 0,200000 0,000739 0,000739 0,000000
330 1660161033 0,269624 0,200000 0,269624 0,269624 0,014539
348 1660161034 0,279060 0,400000 0,271698 0,286422 0,031172
333 1660161034 0,000739 0,200000 0,000739 0,000739 0,000000
330 1660161034 0,269624 0,200000 0,269624 0,269624 0,014539
348 1660161035 0,279060 0,400000 0,271698 0,286422 0,031172
333 1660161035 0,000739 0,200000 0,000739 0,000739 0,000000
330 1660161035 0,269624 0,200000 0,269624 0,269624 0,014539
352 1660161036 0,257779 0,200000 0,257779 0,257779 0,013290
358 1660161036 0,211569 0,200000 0,211569 0,211569 0,008952
355 1660161036 17,847835 0,200000 17,847835 17,847835 63,709045
352 1660161037 0,257779 0,200000 0,257779 0,257779 0,013290
358 1660161037 0,211569 0,200000 0,211569 0,211569 0,008952
355 1660161037 17,847835 0,200000 17,847835 17,847835 63,709045
355 1660161038 17,847835 0,200000 17,847835 17,847835 63,709045
358 1660161038 0,211569 0,200000 0,211569 0,211569 0,008952
352 1660161038 0,257779 0,200000 0,257779 0,257779 0,013290
352 1660161039 0,257779 0,200000 0,257779 0,257779 0,013290
358 1660161039 0,211569 0,200000 0,211569 0,211569 0,008952
355 1660161039 17,847835 0,200000 17,847835 17,847835 63,709045
352 1660161040 0,257779 0,200000 0,257779 0,257779 0,013290
358 1660161040 0,211569 0,200000 0,211569 0,211569 0,008952
355 1660161040 17,847835 0,200000 17,847835 17,847835 63,709045
352 1660161041 0,270260 0,200000 0,270260 0,270260 0,014608
352 1660161042 0,270260 0,200000 0,270260 0,270260 0,014608
352 1660161043 0,270260 0,200000 0,270260 0,270260 0,014608
352 1660161044 0,270260 0,200000 0,270260 0,270260 0,014608
352 1660161045 0,270260 0,200000 0,270260 0,270260 0,014608
348 1660161046 0,317681 0,200000 0,317681 0,317681 0,020184
358 1660161046 0,249802 0,200000 0,249802 0,249802 0,012480
361 1660161046 0,135411 0,400000 0,135393 0,135430 0,007334
355 1660161046 15,514976 0,200000 15,514976 15,514976 48,142896
348 1660161047 0,317681 0,200000 0,317681 0,317681 0,020184
358 1660161047 0,249802 0,200000 0,249802 0,249802 0,012480
361 1660161047 0,135411 0,400000 0,135393 0,135430 0,007334
355 1660161047 15,514976 0,200000 15,514976 15,514976 48,142896
348 1660161048 0,317681 0,200000 0,317681 0,317681 0,020184
358 1660161048 0,249802 0,200000 0,249802 0,249802 0,012480
361 1660161048 0,135411 0,400000 0,135393 0,135430 0,007334
355 1660161048 15,514976 0,200000 15,514976 15,514976 48,142896
348 1660161049 0,317681 0,200000 0,317681 0,317681 0,020184
358 1660161049 0,249802 0,200000 0,249802 0,249802 0,012480
361 1660161049 0,135411 0,400000 0,135393 0,135430 0,007334
355 1660161049 15,514976 0,200000 15,514976 15,514976 48,142896
348 1660161050 0,317681 0,200000 0,317681 0,317681 0,020184
358 1660161050 0,249802 0,200000 0,249802 0,249802 0,012480
361 1660161050 0,135411 0,400000 0,135393 0,135430 0,007334
355 1660161050 15,514976 0,200000 15,514976 15,514976 48,142896
333 1660161051 0,001458 0,200000 0,001458 0,001458 0,000000
330 1660161051 0,290907 0,200000 0,290907 0,290907 0,016925
333 1660161052 0,001458 0,200000 0,001458 0,001458 0,000000
330 1660161052 0,290907 0,200000 0,290907 0,290907 0,016925
333 1660161053 0,001458 0,200000 0,001458 0,001458 0,000000
330 1660161053 0,290907 0,200000 0,290907 0,290907 0,016925
333 1660161054 0,001458 0,200000 0,001458 0,001458 0,000000
330 1660161054 0,290907 0,200000 0,290907 0,290907 0,016925
333 1660161055 0,001458 0,200000 0,001458 0,001458 0,000000
330 1660161055 0,290907 0,200000 0,290907 0,290907 0,016925
364 1660161056 0,140529 0,400000 0,133128 0,147930 0,007921
364 1660161057 0,140529 0,400000 0,133128 0,147930 0,007921
364 1660161058 0,140529 0,400000 0,133128 0,147930 0,007921
364 1660161059 0,140529 0,400000 0,133128 0,147930 0,007921
364 1660161060 0,140529 0,400000 0,133128 0,147930 0,007921
348 1660161061 0,302044 0,200000 0,302044 0,302044 0,018246
358 1660161061 0,269557 0,200000 0,269557 0,269557 0,014532
355 1660161061 41,580733 0,200000 41,580733 41,580733 345,791468
348 1660161062 0,302044 0,200000 0,302044 0,302044 0,018246
358 1660161062 0,269557 0,200000 0,269557 0,269557 0,014532
355 1660161062 41,580733 0,200000 41,580733 41,580733 345,791468
355 1660161063 41,580733 0,200000 41,580733 41,580733 345,791468
358 1660161063 0,269557 0,200000 0,269557 0,269557 0,014532
348 1660161063 0,302044 0,200000 0,302044 0,302044 0,018246
348 1660161064 0,302044 0,200000 0,302044 0,302044 0,018246
358 1660161064 0,269557 0,200000 0,269557 0,269557 0,014532
355 1660161064 41,580733 0,200000 41,580733 41,580733 345,791468
348 1660161065 0,302044 0,200000 0,302044 0,302044 0,018246
358 1660161065 0,269557 0,200000 0,269557 0,269557 0,014532
355 1660161065 41,580733 0,200000 41,580733 41,580733 345,791468
358 1660161066 0,277348 0,200000 0,277348 0,277348 0,015384
333 1660161066 0,001004 0,200000 0,001004 0,001004 0,000000
355 1660161066 16,729572 0,200000 16,729572 16,729572 55,975716
358 1660161067 0,277348 0,200000 0,277348 0,277348 0,015384
333 1660161067 0,001004 0,200000 0,001004 0,001004 0,000000
355 1660161067 16,729572 0,200000 16,729572 16,729572 55,975716
358 1660161068 0,277348 0,200000 0,277348 0,277348 0,015384
333 1660161068 0,001004 0,200000 0,001004 0,001004 0,000000
355 1660161068 16,729572 0,200000 16,729572 16,729572 55,975716
358 1660161069 0,277348 0,200000 0,277348 0,277348 0,015384
333 1660161069 0,001004 0,200000 0,001004 0,001004 0,000000
355 1660161069 16,729572 0,200000 16,729572 16,729572 55,975716
358 1660161070 0,277348 0,200000 0,277348 0,277348 0,015384
333 1660161070 0,001004 0,200000 0,001004 0,001004 0,000000
355 1660161070 16,729572 0,200000 16,729572 16,729572 55,975716
330 1660161071 0,307161 0,200000 0,307161 0,307161 0,018870
330 1660161072 0,307161 0,200000 0,307161 0,307161 0,018870
330 1660161073 0,307161 0,200000 0,307161 0,307161 0,018870
330 1660161074 0,307161 0,200000 0,307161 0,307161 0,018870
330 1660161075 0,307161 0,200000 0,307161 0,307161 0,018870
367 1660161081 0,175458 0,200000 0,175458 0,175458 0,006157
348 1660161081 0,271823 0,200000 0,271823 0,271823 0,014778
367 1660161082 0,175458 0,200000 0,175458 0,175458 0,006157
348 1660161082 0,271823 0,200000 0,271823 0,271823 0,014778
367 1660161083 0,175458 0,200000 0,175458 0,175458 0,006157
348 1660161083 0,271823 0,200000 0,271823 0,271823 0,014778
367 1660161084 0,175458 0,200000 0,175458 0,175458 0,006157
348 1660161084 0,271823 0,200000 0,271823 0,271823 0,014778
367 1660161085 0,175458 0,200000 0,175458 0,175458 0,006157
348 1660161085 0,271823 0,200000 0,271823 0,271823 0,014778
358 1660161086 0,218083 0,200000 0,218083 0,218083 0,009512
333 1660161086 0,000687 0,200000 0,000687 0,000687 0,000000
355 1660161086 17,986391 0,200000 17,986391 17,986391 64,702054
330 1660161086 0,267894 0,200000 0,267894 0,267894 0,014353
358 1660161087 0,218083 0,200000 0,218083 0,218083 0,009512
333 1660161087 0,000687 0,200000 0,000687 0,000687 0,000000
355 1660161087 17,986391 0,200000 17,986391 17,986391 64,702054
330 1660161087 0,267894 0,200000 0,267894 0,267894 0,014353
355 1660161088 17,986391 0,200000 17,986391 17,986391 64,702054
358 1660161088 0,218083 0,200000 0,218083 0,218083 0,009512
330 1660161088 0,267894 0,200000 0,267894 0,267894 0,014353
333 1660161088 0,000687 0,200000 0,000687 0,000687 0,000000
358 1660161089 0,218083 0,200000 0,218083 0,218083 0,009512
333 1660161089 0,000687 0,200000 0,000687 0,000687 0,000000
355 1660161089 17,986391 0,200000 17,986391 17,986391 64,702054
330 1660161089 0,267894 0,200000 0,267894 0,267894 0,014353
358 1660161090 0,218083 0,200000 0,218083 0,218083 0,009512
333 1660161090 0,000687 0,200000 0,000687 0,000687 0,000000
355 1660161090 17,986391 0,200000 17,986391 17,986391 64,702054
330 1660161090 0,267894 0,200000 0,267894 0,267894 0,014353
348 1660161091 0,270753 0,200000 0,270753 0,270753 0,014661
370 1660161091 0,273484 0,200000 0,273484 0,273484 0,014959
373 1660161091 0,238606 0,200000 0,238606 0,238606 0,011387
348 1660161092 0,270753 0,200000 0,270753 0,270753 0,014661
370 1660161092 0,273484 0,200000 0,273484 0,273484 0,014959
373 1660161092 0,238606 0,200000 0,238606 0,238606 0,011387
348 1660161093 0,270753 0,200000 0,270753 0,270753 0,014661
370 1660161093 0,273484 0,200000 0,273484 0,273484 0,014959
373 1660161093 0,238606 0,200000 0,238606 0,238606 0,011387
348 1660161094 0,270753 0,200000 0,270753 0,270753 0,014661
370 1660161094 0,273484 0,200000 0,273484 0,273484 0,014959
373 1660161094 0,238606 0,200000 0,238606 0,238606 0,011387
348 1660161095 0,270753 0,200000 0,270753 0,270753 0,014661
370 1660161095 0,273484 0,200000 0,273484 0,273484 0,014959
373 1660161095 0,238606 0,200000 0,238606 0,238606 0,011387
358 1660161096 0,314286 0,200000 0,314286 0,314286 0,019755
355 1660161096 10,976624 0,200000 10,976624 10,976624 24,097257
358 1660161097 0,314286 0,200000 0,314286 0,314286 0,019755
355 1660161097 10,976624 0,200000 10,976624 10,976624 24,097257
358 1660161098 0,314286 0,200000 0,314286 0,314286 0,019755
355 1660161098 10,976624 0,200000 10,976624 10,976624 24,097257
358 1660161099 0,314286 0,200000 0,314286 0,314286 0,019755
355 1660161099 10,976624 0,200000 10,976624 10,976624 24,097257
358 1660161100 0,314286 0,200000 0,314286 0,314286 0,019755
355 1660161100 10,976624 0,200000 10,976624 10,976624 24,097257
376 1660161101 0,144278 0,200000 0,144278 0,144278 0,004163
376 1660161102 0,144278 0,200000 0,144278 0,144278 0,004163
376 1660161103 0,144278 0,200000 0,144278 0,144278 0,004163
376 1660161104 0,144278 0,200000 0,144278 0,144278 0,004163
376 1660161105 0,144278 0,200000 0,144278 0,144278 0,004163
358 1660161106 0,285377 0,200000 0,285377 0,285377 0,016288
333 1660161106 0,000912 0,400000 0,000863 0,000962 0,000000
355 1660161106 84,004938 0,200000 84,004938 84,004938 1411,365918
330 1660161106 0,284158 0,400000 0,267401 0,300916 0,032411
358 1660161107 0,285377 0,200000 0,285377 0,285377 0,016288
333 1660161107 0,000912 0,400000 0,000863 0,000962 0,000000
355 1660161107 84,004938 0,200000 84,004938 84,004938 1411,365918
330 1660161107 0,284158 0,400000 0,267401 0,300916 0,032411
358 1660161108 0,285377 0,200000 0,285377 0,285377 0,016288
333 1660161108 0,000912 0,400000 0,000863 0,000962 0,000000
355 1660161108 84,004938 0,200000 84,004938 84,004938 1411,365918
330 1660161108 0,284158 0,400000 0,267401 0,300916 0,032411
358 1660161109 0,285377 0,200000 0,285377 0,285377 0,016288
333 1660161109 0,000912 0,400000 0,000863 0,000962 0,000000
355 1660161109 84,004938 0,200000 84,004938 84,004938 1411,365918
330 1660161109 0,284158 0,400000 0,267401 0,300916 0,032411
358 1660161110 0,285377 0,200000 0,285377 0,285377 0,016288
333 1660161110 0,000912 0,400000 0,000863 0,000962 0,000000
355 1660161110 84,004938 0,200000 84,004938 84,004938 1411,365918
330 1660161110 0,284158 0,400000 0,267401 0,300916 0,032411
348 1660161111 0,287262 0,200000 0,287262 0,287262 0,016504
348 1660161112 0,287262 0,200000 0,287262 0,287262 0,016504
348 1660161113 0,287262 0,200000 0,287262 0,287262 0,016504
348 1660161114 0,287262 0,200000 0,287262 0,287262 0,016504
348 1660161115 0,287262 0,200000 0,287262 0,287262 0,016504
352 1660161116 0,270697 0,200000 0,270697 0,270697 0,014655
348 1660161116 0,303678 0,200000 0,303678 0,303678 0,018444
352 1660161117 0,270697 0,200000 0,270697 0,270697 0,014655
348 1660161117 0,303678 0,200000 0,303678 0,303678 0,018444
352 1660161118 0,270697 0,200000 0,270697 0,270697 0,014655
348 1660161118 0,303678 0,200000 0,303678 0,303678 0,018444
352 1660161119 0,270697 0,200000 0,270697 0,270697 0,014655
348 1660161119 0,303678 0,200000 0,303678 0,303678 0,018444
352 1660161120 0,270697 0,200000 0,270697 0,270697 0,014655
348 1660161120 0,303678 0,200000 0,303678 0,303678 0,018444
358 1660161121 0,228263 0,200000 0,228263 0,228263 0,010421
333 1660161121 0,000996 0,200000 0,000996 0,000996 0,000000
355 1660161121 15,123536 0,200000 15,123536 15,123536 45,744266
330 1660161121 0,317151 0,200000 0,317151 0,317151 0,020117
358 1660161122 0,228263 0,200000 0,228263 0,228263 0,010421
333 1660161122 0,000996 0,200000 0,000996 0,000996 0,000000
355 1660161122 15,123536 0,200000 15,123536 15,123536 45,744266
330 1660161122 0,317151 0,200000 0,317151 0,317151 0,020117
330 1660161123 0,317151 0,200000 0,317151 0,317151 0,020117
358 1660161123 0,228263 0,200000 0,228263 0,228263 0,010421
333 1660161123 0,000996 0,200000 0,000996 0,000996 0,000000
355 1660161123 15,123536 0,200000 15,123536 15,123536 45,744266
358 1660161124 0,228263 0,200000 0,228263 0,228263 0,010421
333 1660161124 0,000996 0,200000 0,000996 0,000996 0,000000
355 1660161124 15,123536 0,200000 15,123536 15,123536 45,744266
330 1660161124 0,317151 0,200000 0,317151 0,317151 0,020117
358 1660161125 0,228263 0,200000 0,228263 0,228263 0,010421
333 1660161125 0,000996 0,200000 0,000996 0,000996 0,000000
355 1660161125 15,123536 0,200000 15,123536 15,123536 45,744266
330 1660161125 0,317151 0,200000 0,317151 0,317151 0,020117
361 1660161126 0,129408 0,200000 0,129408 0,129408 0,003349
361 1660161127 0,129408 0,200000 0,129408 0,129408 0,003349
361 1660161128 0,129408 0,200000 0,129408 0,129408 0,003349
361 1660161129 0,129408 0,200000 0,129408 0,129408 0,003349
361 1660161130 0,129408 0,200000 0,129408 0,129408 0,003349
348 1660161131 0,287943 0,200000 0,287943 0,287943 0,016582
348 1660161132 0,287943 0,200000 0,287943 0,287943 0,016582
348 1660161133 0,287943 0,200000 0,287943 0,287943 0,016582
348 1660161134 0,287943 0,200000 0,287943 0,287943 0,016582
348 1660161135 0,287943 0,200000 0,287943 0,287943 0,016582
358 1660161136 0,248182 0,200000 0,248182 0,248182 0,012319
355 1660161136 11,082131 0,200000 11,082131 11,082131 24,562724
364 1660161136 0,088285 0,200000 0,088285 0,088285 0,001559
358 1660161137 0,248182 0,200000 0,248182 0,248182 0,012319
355 1660161137 11,082131 0,200000 11,082131 11,082131 24,562724
364 1660161137 0,088285 0,200000 0,088285 0,088285 0,001559
358 1660161138 0,248182 0,200000 0,248182 0,248182 0,012319
355 1660161138 11,082131 0,200000 11,082131 11,082131 24,562724
364 1660161138 0,088285 0,200000 0,088285 0,088285 0,001559
358 1660161139 0,248182 0,200000 0,248182 0,248182 0,012319
355 1660161139 11,082131 0,200000 11,082131 11,082131 24,562724
364 1660161139 0,088285 0,200000 0,088285 0,088285 0,001559
358 1660161140 0,248182 0,200000 0,248182 0,248182 0,012319
355 1660161140 11,082131 0,200000 11,082131 11,082131 24,562724
364 1660161140 0,088285 0,200000 0,088285 0,088285 0,001559
358 1660161146 0,273813 0,200000 0,273813 0,273813 0,014995
355 1660161146 39,471441 0,200000 39,471441 39,471441 311,598935
